,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
224,2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2017-04-25,0.61211807,0.5868182,0.576073,0.5568982,0.55191284,0.54278344,0.5254659,0.5532273,0.5631245,0.5595445,0.54690385,0.57287884,0.64142036,0.5399726,0.62407005,0.61647004,0.5896253,0.54129213,0.5163334,0.5140242,0.5088855,0.5003082,0.5054568,0.5135326,0.52494085,0.5182911,0.56152886,0.6286381,0.5040169,0.6485105,0.64853054,0.6134329,0.55691123,0.5185827,0.5123211,0.52671325,0.5146175,0.51508385,0.52044576,0.51980746,0.52425903,0.56480974,0.57762605,0.5218194,0.610503,0.6481085,0.63294375,0.6021207,0.51226926,0.5210027,0.5649233,0.54247355,0.5323723,0.5376046,0.54668486,0.55738974,0.5844152,0.52965117,0.52028924,0.58666515,0.64343315,0.6412144,0.62279046,0.6042369,0.62143993,0.6359528,0.6116126,0.5904017,0.60668194,0.60165715,0.6122111,0.59863144,0.54334635,0.5424925,0.605391,0.6382743,0.65281737,0.64305925,0.6499374,0.6627992,0.68220896,0.66299766,0.6394084,0.64603925,0.6522445,0.6467321,0.6066401,0.55615586,0.5878956,0.623621,0.6260376,0.6408301,0.65854055,0.7228509,0.7348151,0.7550228,0.7222451,0.71433026,0.7150635,0.730606,0.6706097,0.5967382,0.5490224,0.5849426,0.6371814,0.6215054,0.63279027,0.65749395,0.74185,0.75990695,0.7380099,0.70363826,0.68905646,0.66384774,0.6639407,0.59392804,0.5202907,0.53467417,0.6193347,0.6571004,0.6191968,0.6470006,0.66198045,0.73558265,0.7603338,0.73640335,0.7012864,0.6673477,0.63109976,0.59234464,0.5483308,0.47067764,0.55306023,0.6524459,0.6814395,0.60805786,0.63233185,0.6556139,0.73559916,0.75572085,0.741118,0.72189605,0.6704803,0.6183205,0.5785577,0.5531608,0.47747093,0.59880894,0.6633747,0.7067589,0.592066,0.6133438,0.6219341,0.6431312,0.6861937,0.7019373,0.7301596,0.6993269,0.6496474,0.61108285,0.593164,0.58981496,0.6318154,0.67630893,0.7198979,0.58216685,0.58443373,0.59470916,0.59505975,0.6414254,0.67333555,0.7366995,0.7354725,0.6381246,0.6650364,0.6519991,0.67105204,0.6954998,0.71862364,0.74567837,0.5824571,0.5820669,0.57327074,0.56675076,0.61091053,0.6525559,0.7377481,0.76498777,0.661924,0.7425253,0.7300534,0.76774085,0.7792702,0.7772434,0.7730705
226,2017-05-02,0.4202597,0.56801605,0.4252732,0.39679882,0.26464993,0.17965645,,,,,,,,,,0.5248942,0.4994277,0.463847,0.42796376,0.27242392,0.17984663,0.16560856,0.1533151,0.13088681,,,,,,,0.6713827,0.59122825,0.51446265,0.39957058,0.2729857,0.22231688,0.21497694,0.22569083,0.19513138,0.12844683,,,,,,0.7221479,0.67050976,0.5123826,0.37658986,0.31806484,0.3013101,0.2882295,0.3097323,0.24992947,0.17940249,,,,,,0.7596342,0.6981798,0.59453946,0.46351355,0.42059577,0.3885767,0.37229523,0.3673082,0.35691506,0.30490184,0.20885384,,,,,0.7468292,0.74187315,0.6824385,0.52535105,0.4636253,0.50349486,0.5006393,0.5098178,0.51819795,0.5018361,0.40064877,0.26724628,0.23573802,0.24187481,0.34453648,0.7410396,0.69267046,0.6832981,0.61675394,0.573391,0.6649145,0.68924737,0.702357,0.7199526,0.7342961,0.6868263,0.55634,0.46132764,0.6321466,0.94657296,0.7474943,0.73209006,0.7357831,0.74839735,0.76795584,0.78420115,0.755713,0.78137505,0.78789306,0.82581776,0.74310946,0.70571303,0.61575234,1.0,1.0,0.75435203,0.7701545,0.744324,0.7347218,0.79418075,0.77260005,0.73936677,0.7599234,0.76697564,0.7644341,0.685437,0.5700928,0.6404348,0.92559236,0.8984852,0.754383,0.76802385,0.72752875,0.7302573,0.7542115,0.71663904,0.71883523,0.73649436,0.7414081,0.7339404,0.7004675,0.5833638,0.7350628,0.8151696,0.8234609,0.752376,0.7434346,0.71712136,0.7367029,0.75467086,0.7065183,0.7192145,0.73023266,0.7647485,0.714332,0.70291513,0.68305534,0.7905106,0.80682284,0.8236048,0.7329738,0.72890913,0.742444,0.7425905,0.754006,0.7188785,0.73827,0.7418502,0.72233707,0.70484716,0.75353074,0.7639906,0.798056,0.8109293,0.82508504,0.768567,0.7668833,0.75544643,0.74875665,0.74374026,0.74067503,0.75881934,0.7526946,0.70152617,0.71371824,0.7556228,0.7788476,0.80115426,0.8185547,0.8393339
227,2017-05-09,0.72031677,0.7205861,0.7154017,0.7013972,0.6972058,0.6975192,0.6979883,0.7089332,0.71341115,0.71322656,0.6996653,0.71207964,0.74411184,0.67331713,0.7443298,0.7243278,0.71055764,0.68399084,0.67031723,0.6674847,0.668276,0.66413665,0.66437876,0.6753806,0.6870645,0.68336195,0.6948547,0.7316296,0.6525677,0.7616439,0.7454008,0.7248729,0.69665253,0.6696673,0.6640546,0.6814861,0.6726908,0.66485626,0.675641,0.68475014,0.6859586,0.6960421,0.6982319,0.6627378,0.7471595,0.7516791,0.74435407,0.7262264,0.6743124,0.6793005,0.71119565,0.7033665,0.6877689,0.70323056,0.71356946,0.71327925,0.7190204,0.6724927,0.6738354,0.7412746,0.7511854,0.7488652,0.74382615,0.73490906,0.7380242,0.74863,0.7418429,0.7359236,0.74465764,0.7406487,0.7419381,0.7242654,0.68733025,0.7060352,0.7595126,0.7495279,0.7544003,0.75170916,0.7388056,0.7400763,0.7516933,0.7485334,0.74372154,0.74840796,0.7509141,0.75014335,0.7267364,0.7014052,0.7370846,0.7678143,0.74456316,0.74108386,0.7413971,0.74979633,0.74788463,0.75615704,0.7474946,0.7505722,0.7505147,0.7540462,0.74285686,0.7075033,0.6964875,0.7349867,0.7735741,0.7464892,0.74589324,0.74468404,0.757613,0.76812,0.76296866,0.7475959,0.75168467,0.7456464,0.74723643,0.713282,0.66582155,0.6897711,0.7597303,0.7781773,0.7504517,0.7518284,0.7468749,0.7543371,0.76855683,0.7637306,0.74651134,0.7466819,0.74321616,0.73760325,0.6991941,0.62420267,0.7237415,0.77842855,0.78517294,0.74456996,0.7437754,0.74675983,0.7540416,0.7628052,0.75054234,0.74763316,0.749922,0.74843425,0.74560916,0.71082777,0.64713204,0.7578721,0.7832801,0.7849578,0.73968023,0.74896204,0.7499513,0.7531446,0.7622841,0.73866117,0.7418701,0.7497601,0.742537,0.7445234,0.735114,0.7273355,0.7655935,0.7779811,0.7826949,0.7430066,0.7498174,0.74595356,0.7471973,0.7539614,0.7399168,0.7425457,0.75175756,0.7172252,0.7539965,0.75100666,0.76122355,0.77227056,0.7773786,0.7813586,0.7540485,0.7551862,0.748992,0.7441257,0.74494565,0.7486252,0.74927616,0.75628674,0.7171566,0.7445359,0.75191927,0.77123815,0.7762265,0.78080964,0.783124
228,2017-05-16,0.67871314,0.67862517,0.6648246,0.6344012,0.62626356,0.6046672,0.56950283,0.5530552,0.5572919,0.53663945,0.5073238,0.53781575,0.6344465,0.56968945,0.6534269,0.6835979,0.6789139,0.6159595,0.585967,0.58200306,0.5721031,0.5452989,0.5172663,0.50568855,0.49908805,0.4935716,0.52050817,0.6095467,0.5453696,0.64282775,0.7102489,0.6891733,0.63280463,0.57680297,0.56348455,0.56455743,0.53973633,0.52686083,0.506368,0.49961323,0.50742203,0.51701546,0.5468116,0.54908174,0.600543,0.71101266,0.6967659,0.6602398,0.5904566,0.5911054,0.5896927,0.573365,0.5631589,0.5566774,0.5564088,0.5513033,0.5554248,0.5392509,0.5538078,0.5842991,0.6949902,0.69071025,0.6747694,0.6622003,0.64858824,0.64287287,0.61479336,0.60084325,0.5964619,0.59306127,0.5664991,0.5781639,0.5753698,0.5960055,0.6162253,0.68477446,0.6862888,0.6688224,0.6502503,0.6290248,0.63389295,0.6005016,0.5962953,0.5924712,0.592465,0.5701997,0.5822699,0.6001281,0.6446252,0.6701473,0.6733293,0.6661503,0.64397496,0.6450957,0.62445164,0.6101533,0.5881894,0.5915283,0.5974226,0.5765261,0.5619723,0.56718946,0.61114573,0.6952885,0.7605925,0.6660317,0.6460425,0.6311965,0.64756566,0.65008104,0.6229704,0.5837751,0.59185624,0.5918969,0.58441186,0.5366828,0.50631994,0.5703169,0.6524312,0.69062185,0.67082185,0.647939,0.6283424,0.6486025,0.6685445,0.66304404,0.62812084,0.6036406,0.58902717,0.5712202,0.5247578,0.47583362,0.5514953,0.6103182,0.6188808,0.6610739,0.6399824,0.64334404,0.6684996,0.7149725,0.73984593,0.67322445,0.63528115,0.5948854,0.585917,0.55768,0.5216346,0.5655404,0.5844225,0.5713256,0.6663192,0.6632857,0.6572183,0.65950674,0.67059875,0.6786158,0.6515535,0.6337517,0.6124489,0.5997892,0.57861704,0.56942105,0.5674095,0.5751881,0.57334536,0.68206596,0.67722964,0.65634936,0.65281796,0.6406364,0.63818777,0.6214072,0.6199204,0.60188353,0.6109126,0.58856726,0.5662553,0.5511708,0.56105167,0.57781166,0.6944203,0.6769988,0.66796327,0.66225374,0.6257006,0.60674125,0.5894766,0.60305196,0.58062834,0.59539616,0.5724478,0.5666347,0.5424774,0.5335478,0.563808
229,2017-05-23,0.74590224,0.7671528,0.7775331,0.74703854,0.7375315,0.7341812,0.7300583,0.7606871,0.7575503,0.74677926,0.7118172,0.71328634,0.8480396,0.62541896,0.8446386,0.7637152,0.72300833,0.69645107,0.64447635,0.66839606,0.6892596,0.6643401,0.6484965,0.6523116,0.66660947,0.6592767,0.69189155,0.82992417,0.6116966,0.8714137,0.7985824,0.76685613,0.72687006,0.6589818,0.65993214,0.7087787,0.6738019,0.64899004,0.67771584,0.6801537,0.67531085,0.7056139,0.71334356,0.66605,0.8249838,0.8167005,0.81228095,0.7870861,0.67765117,0.7004914,0.7587819,0.73775226,0.701176,0.73943967,0.7646243,0.7742986,0.8078124,0.6736194,0.70825744,0.83036906,0.8143312,0.81501687,0.8252234,0.8363731,0.84344614,0.85239756,0.8184363,0.79840595,0.84310913,0.84130406,0.85028595,0.8313818,0.7361522,0.79257333,0.8853112,0.8064049,0.8251838,0.8306759,0.84316206,0.839965,0.8543053,0.8298983,0.8296126,0.8509824,0.85704476,0.86506,0.8243102,0.76729506,0.8704527,0.9000325,0.79277426,0.8094746,0.7987906,0.8384032,0.84651655,0.85809237,0.82513577,0.8482016,0.8518109,0.8634509,0.8568641,0.78203505,0.76399064,0.8651642,0.90416133,0.79168355,0.8009748,0.81270474,0.8641717,0.8849487,0.8687287,0.83123606,0.8577768,0.8518505,0.8664303,0.81604123,0.68095577,0.756862,0.88863707,0.9050827,0.80690014,0.82261544,0.8264688,0.8605256,0.89369464,0.8660917,0.8412439,0.8622272,0.8597844,0.84685683,0.7771047,0.5699684,0.8010459,0.89898825,0.90213686,0.8112927,0.821645,0.8238619,0.86101806,0.88382,0.8435567,0.8499574,0.86505073,0.86562634,0.85895276,0.7770929,0.62289333,0.84495133,0.89843714,0.9015458,0.80480754,0.83549845,0.83344686,0.8653095,0.8828093,0.8365332,0.8586709,0.8724203,0.86772,0.8659085,0.83637625,0.820229,0.8855701,0.902167,0.90275216,0.8295078,0.86132693,0.84624517,0.86356705,0.8878211,0.8533422,0.8688475,0.878865,0.8426559,0.87950665,0.8563633,0.88077337,0.8949769,0.89855635,0.90011066,0.88935184,0.899709,0.8811878,0.87669283,0.87859386,0.86907417,0.8787083,0.8815064,0.84896684,0.87079453,0.8775127,0.89297664,0.90111315,0.90088737,0.9021699
230,2017-05-30,0.5192769,0.4922304,0.4964781,0.5127899,0.50868845,0.50496584,0.49989533,0.49822056,0.49664375,0.4987893,0.5166554,0.51526093,0.50992495,0.5348858,0.5663763,0.53737676,0.5203575,0.5112264,0.5357323,0.56330806,0.53834563,0.51168585,0.49417794,0.48457888,0.48282036,0.5055308,0.522823,0.52977854,0.55204856,0.59978396,0.5684461,0.5436084,0.54138196,0.54166913,0.56357574,0.55547523,0.53333604,0.5083166,0.48825788,0.48190275,0.49528703,0.52746415,0.54861015,0.56415325,0.5876694,0.6204769,0.5989514,0.59740704,0.5710276,0.55872095,0.55087066,0.55884093,0.544982,0.52578664,0.50591636,0.5007943,0.5235256,0.53807074,0.54593337,0.61849964,0.6309424,0.63118917,0.6118572,0.59565073,0.58777267,0.5780014,0.5886498,0.5896089,0.59882754,0.5687274,0.5430684,0.552813,0.5631334,0.5764235,0.65438265,0.6210048,0.62358534,0.62180907,0.60553545,0.59459835,0.6011921,0.591365,0.609174,0.61535937,0.60098255,0.57693046,0.5764407,0.58005095,0.62306,0.65073454,0.6206677,0.62366873,0.6359258,0.6268202,0.59500533,0.6260485,0.59546846,0.62252134,0.6241647,0.60738045,0.5783377,0.57259744,0.5591196,0.6307761,0.6393762,0.6193636,0.61219066,0.6220849,0.64733106,0.62635857,0.6354737,0.60895276,0.63140464,0.63067317,0.6046294,0.5814667,0.5423317,0.53650653,0.6239597,0.63672745,0.60991603,0.6237061,0.6289806,0.6597064,0.66116095,0.6288362,0.6154899,0.6285672,0.620799,0.60427207,0.5764348,0.5127113,0.5552317,0.61023927,0.64821917,0.5998955,0.6075775,0.61538833,0.6412717,0.6666145,0.6397757,0.63172853,0.61831385,0.6095505,0.62234795,0.5932407,0.5159131,0.5901762,0.6084815,0.6399858,0.5897288,0.60109174,0.6126139,0.6195762,0.66042686,0.6362414,0.62727904,0.61261123,0.6123928,0.62223846,0.60784733,0.579894,0.59500957,0.6034319,0.6168832,0.6044567,0.61719376,0.6140707,0.6157322,0.635839,0.62389743,0.61376107,0.6130193,0.6165723,0.61919755,0.6015647,0.5905267,0.60531557,0.60486835,0.60816944,0.6511881,0.6513601,0.64735156,0.6288149,0.61446327,0.60790855,0.6049046,0.6277694,0.6328013,0.6316555,0.59529966,0.5899711,0.596877,0.6081105,0.6078195
231,2017-06-06,0.61941445,0.66478467,0.76349276,0.7608621,0.7579236,0.7423633,0.72672904,0.7405278,0.76437455,0.75795054,0.72414976,0.6969684,0.76111245,0.55837953,0.781834,0.59895456,0.5957174,0.66991657,0.6696139,0.6633278,0.69114614,0.65141916,0.6387248,0.6513727,0.6483795,0.6563568,0.6904783,0.6341528,0.6056025,0.7666047,0.6064032,0.6533723,0.67697865,0.66826785,0.66237783,0.68203086,0.6816007,0.6450942,0.6647561,0.66289335,0.66351527,0.67401683,0.5784645,0.64863086,0.7005694,0.6577094,0.67677766,0.7244337,0.697301,0.6945781,0.7399652,0.7355189,0.70771104,0.7327107,0.74955374,0.7565147,0.7781196,0.67739743,0.6301701,0.7499885,0.6461572,0.6637839,0.76686895,0.82635653,0.84200054,0.8531254,0.8039791,0.809705,0.83891904,0.84907264,0.8377615,0.8033539,0.7475277,0.7058213,0.8547392,0.6351047,0.66157264,0.74583,0.8439557,0.83620197,0.8533771,0.81902885,0.83573264,0.8509854,0.8698629,0.8628943,0.8287425,0.77166164,0.7930671,0.8957932,0.59694403,0.6052975,0.7196139,0.8284407,0.8447092,0.8551637,0.8328072,0.8419197,0.851652,0.86448485,0.8479516,0.82876676,0.7075171,0.81313103,0.8976432,0.59305346,0.6192883,0.7205564,0.8519563,0.89140064,0.8579938,0.84910595,0.8589421,0.85993564,0.86655575,0.8248652,0.77862394,0.6201295,0.8800054,0.90552586,0.6174349,0.6630512,0.7140255,0.8549957,0.89630973,0.85185516,0.86161065,0.8670053,0.8621711,0.8409618,0.7761467,0.6672802,0.60207087,0.9036231,0.9048896,0.62416756,0.67126065,0.7188303,0.85956687,0.89166445,0.8368244,0.86772436,0.86296916,0.86674225,0.8586141,0.8035456,0.70705533,0.71811604,0.9077326,0.9047104,0.65535295,0.6865963,0.7404147,0.8675196,0.88334936,0.8470315,0.87044966,0.8650052,0.89063597,0.85070926,0.83215773,0.8455099,0.8919134,0.9079377,0.9046915,0.73076165,0.79315734,0.81961095,0.8700308,0.882158,0.87038463,0.8748922,0.87958694,0.8811321,0.85269344,0.88175166,0.9029002,0.9060012,0.9061743,0.9037986,0.8857159,0.8999773,0.8858466,0.8917325,0.8753326,0.8856196,0.88948035,0.89356065,0.88014907,0.8711107,0.89865077,0.9043663,0.90404636,0.90421164,0.9083144
232,2017-06-13,0.61941445,0.66478467,0.76349276,0.7608621,0.7579236,0.7423633,0.72672904,0.7405278,0.76437455,0.75795054,0.72414976,0.6969684,0.76111245,0.55837953,0.781834,0.59895456,0.5957174,0.66991657,0.6696139,0.6633278,0.69114614,0.65141916,0.6387248,0.6513727,0.6483795,0.6563568,0.6904783,0.6341528,0.6056025,0.7666047,0.6064032,0.6533723,0.67697865,0.66826785,0.66237783,0.68203086,0.6816007,0.6450942,0.6647561,0.66289335,0.66351527,0.67401683,0.5784645,0.64863086,0.7005694,0.6577094,0.67677766,0.7244337,0.697301,0.6945781,0.7399652,0.7355189,0.70771104,0.7327107,0.74955374,0.7565147,0.7781196,0.67739743,0.6301701,0.7499885,0.6461572,0.6637839,0.76686895,0.82635653,0.84200054,0.8531254,0.8039791,0.809705,0.83891904,0.84907264,0.8377615,0.8033539,0.7475277,0.7058213,0.8547392,0.6351047,0.66157264,0.74583,0.8439557,0.83620197,0.8533771,0.81902885,0.83573264,0.8509854,0.8698629,0.8628943,0.8287425,0.77166164,0.7930671,0.8957932,0.59694403,0.6052975,0.7196139,0.8284407,0.8447092,0.8551637,0.8328072,0.8419197,0.851652,0.86448485,0.8479516,0.82876676,0.7075171,0.81313103,0.8976432,0.59305346,0.6192883,0.7205564,0.8519563,0.89140064,0.8579938,0.84910595,0.8589421,0.85993564,0.86655575,0.8248652,0.77862394,0.6201295,0.8800054,0.90552586,0.6174349,0.6630512,0.7140255,0.8549957,0.89630973,0.85185516,0.86161065,0.8670053,0.8621711,0.8409618,0.7761467,0.6672802,0.60207087,0.9036231,0.9048896,0.62416756,0.67126065,0.7188303,0.85956687,0.89166445,0.8368244,0.86772436,0.86296916,0.86674225,0.8586141,0.8035456,0.70705533,0.71811604,0.9077326,0.9047104,0.65535295,0.6865963,0.7404147,0.8675196,0.88334936,0.8470315,0.87044966,0.8650052,0.89063597,0.85070926,0.83215773,0.8455099,0.8919134,0.9079377,0.9046915,0.73076165,0.79315734,0.81961095,0.8700308,0.882158,0.87038463,0.8748922,0.87958694,0.8811321,0.85269344,0.88175166,0.9029002,0.9060012,0.9061743,0.9037986,0.8857159,0.8999773,0.8858466,0.8917325,0.8753326,0.8856196,0.88948035,0.89356065,0.88014907,0.8711107,0.89865077,0.9043663,0.90404636,0.90421164,0.9083144
233,2017-06-20,0.5908805,0.63692886,0.7640736,0.75123036,0.74619126,0.7523772,0.7036014,0.7329466,0.7574575,0.75580627,0.720658,0.70225555,0.68859076,0.59700155,0.6984988,0.5462374,0.59092903,0.6835311,0.6854658,0.67172194,0.67943734,0.6611646,0.6442798,0.6542622,0.6471195,0.65714157,0.6868418,0.62352306,0.57174253,0.69407916,0.5735938,0.6089155,0.6849115,0.6604545,0.64697206,0.71315795,0.6882207,0.64266586,0.6734521,0.6639503,0.66450864,0.66002434,0.6477279,0.5435336,0.65675277,0.6193868,0.6423837,0.739813,0.6993831,0.7200509,0.77135247,0.7333436,0.71158314,0.7613517,0.75693876,0.77478826,0.77401435,0.6969112,0.5549354,0.7333768,0.6097997,0.6328709,0.7620725,0.849755,0.8450569,0.86919534,0.8342005,0.8025429,0.8521295,0.8597876,0.8531414,0.8117395,0.739088,0.71431816,0.8822283,0.5783502,0.608628,0.76212454,0.8361194,0.844096,0.85922515,0.8158095,0.8343469,0.8605084,0.8825355,0.8845095,0.83890945,0.7429352,0.86782193,0.9189063,0.5432343,0.5737478,0.7058433,0.8588556,0.8598163,0.87244743,0.81885374,0.85466486,0.85626435,0.8715314,0.86321574,0.83413744,0.6759435,0.8649821,0.92598116,0.5570225,0.5742856,0.6976691,0.88387156,0.89898115,0.884145,0.842907,0.87314266,0.86820734,0.8707042,0.83167446,0.69529,0.657166,0.9104786,0.92587614,0.58249193,0.6028652,0.70202166,0.86688095,0.91128296,0.86833024,0.8575036,0.87694144,0.8698764,0.8411164,0.756623,0.54102886,0.774638,0.9192051,0.9194989,0.6053763,0.61363965,0.7190897,0.88128,0.9078692,0.84739256,0.87592465,0.86975974,0.8811407,0.86205304,0.7982086,0.5815039,0.901993,0.9136645,0.9156456,0.6055708,0.64862424,0.72681427,0.8889155,0.90357625,0.8399322,0.87739545,0.87651294,0.8995914,0.8443268,0.84689885,0.830149,0.9107869,0.91646606,0.91657466,0.6889673,0.80975735,0.8235796,0.8925665,0.8957149,0.86931646,0.8805386,0.89017993,0.8743499,0.862404,0.8857355,0.8988425,0.9130388,0.91524106,0.9168647,0.8965231,0.93041885,0.90808624,0.905901,0.8905233,0.89409137,0.89664096,0.90926385,0.86129415,0.89527833,0.9121417,0.91852045,0.91864944,0.9166445,0.9170922
234,2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,2017-07-04,0.5786129,0.6759354,0.77260846,0.7643325,0.76128596,0.76501393,0.6826816,0.7005937,0.7458592,0.747436,0.6923807,0.6780533,0.62327003,0.40085137,0.43200633,0.5804453,0.6123301,0.7001633,0.7085619,0.6929478,0.68616086,0.64175284,0.6252988,0.66455626,0.6635751,0.64442253,0.6367922,0.48528707,0.39880866,0.4589398,0.6086937,0.64620405,0.68050265,0.6763153,0.6641953,0.71204495,0.70092416,0.6635278,0.6887638,0.68134636,0.6606688,0.66086614,0.46551934,0.43581355,0.48720053,0.6482669,0.6743964,0.73617256,0.71246016,0.7383123,0.791091,0.72259796,0.73752826,0.7769874,0.76530206,0.77609706,0.7820591,0.58162296,0.572158,0.6723712,0.62031037,0.6670766,0.7915267,0.86239934,0.850338,0.86142606,0.8317447,0.8147535,0.8599777,0.85446066,0.84525406,0.77637994,0.67605877,0.767556,0.89692765,0.6134131,0.6627078,0.7684212,0.85678285,0.84453034,0.8563303,0.83456963,0.8209634,0.85504556,0.8832771,0.8822042,0.8256236,0.7630608,0.8659224,0.93374676,0.56352705,0.61127245,0.7520361,0.8703119,0.8676028,0.8794312,0.8241767,0.847589,0.8499606,0.8732314,0.85052586,0.8659379,0.6931056,0.9164181,0.9437574,0.5556295,0.6219422,0.74819773,0.8844417,0.90397525,0.8993258,0.831084,0.8759483,0.87232107,0.8695909,0.8157775,0.77945,0.6220076,0.94018984,0.93762124,0.58686036,0.6401794,0.7388702,0.8738351,0.9157899,0.887307,0.8379521,0.8776101,0.87518406,0.82920814,0.7506258,0.6261513,0.67134696,0.9355884,0.9304028,0.60131437,0.6588449,0.7654182,0.8920599,0.916816,0.85920507,0.85886973,0.87805843,0.88548785,0.8453489,0.7902323,0.66319597,0.84078187,0.9252403,0.9256854,0.63300174,0.69307446,0.76113075,0.89887035,0.91322625,0.84049857,0.8749465,0.889776,0.8996527,0.70862967,0.66526234,0.86947346,0.928521,0.9276089,0.9267114,0.7396062,0.8349938,0.84588796,0.90497214,0.91086304,0.8678634,0.8859166,0.9004717,0.8710923,0.70166546,0.8459593,0.9232991,0.9247817,0.9251567,0.92636156,0.9106777,0.9351146,0.9204693,0.908542,0.91098464,0.90214485,0.90843284,0.915871,0.88321865,0.87827194,0.92649287,0.92831075,0.9281098,0.9260542,0.92628765
236,2017-07-11,0.54760617,0.66856885,0.7608064,0.76125294,0.7554985,0.73086035,0.68750834,0.6924116,0.73220575,0.74724674,0.69573253,0.70268124,0.6080583,0.40278292,0.4356906,0.53602415,0.56209487,0.68574625,0.69517714,0.6843264,0.6886276,0.61320376,0.6047953,0.6485179,0.6601928,0.6356068,0.63358396,0.5304582,0.3977082,0.47924748,0.5570496,0.5769249,0.68820775,0.6681856,0.6558057,0.7116261,0.6596606,0.6251442,0.6719357,0.67448735,0.65957314,0.6503722,0.52301973,0.4081233,0.4781189,0.5751973,0.6077676,0.69193596,0.7095484,0.70749784,0.75074226,0.7224494,0.6824968,0.7488463,0.7396182,0.74429506,0.726335,0.5469334,0.52323854,0.6893213,0.5507991,0.5883621,0.7384478,0.818638,0.81051964,0.81858075,0.7956609,0.7742463,0.81573826,0.81415975,0.80442697,0.7109823,0.6325417,0.7085392,0.8781314,0.5314089,0.59371924,0.7088817,0.81544757,0.808683,0.8209926,0.7907434,0.79189175,0.8136026,0.83923024,0.82898533,0.7498268,0.74165386,0.8293596,0.8990366,0.507202,0.5364125,0.6413482,0.8203523,0.82096934,0.837801,0.79964715,0.8093807,0.81333226,0.8303629,0.81935805,0.71404326,0.7150984,0.813026,0.89614874,0.50095683,0.5271677,0.68189186,0.838532,0.86639655,0.8519837,0.8080585,0.8349602,0.8331227,0.8303595,0.74094605,0.6297154,0.70282584,0.8608866,0.89845645,0.5318999,0.56138647,0.67752963,0.8333571,0.8815991,0.8342172,0.81011623,0.8320633,0.84451854,0.81469977,0.70043,0.5057622,0.7842094,0.8916422,0.89458704,0.56186646,0.5591986,0.69870496,0.84481305,0.87474084,0.8116663,0.81818813,0.8393702,0.85137683,0.8181986,0.722903,0.6364786,0.84752613,0.89766127,0.8975686,0.5577788,0.610155,0.68994015,0.8562629,0.87065506,0.80674666,0.8299463,0.8547749,0.8541068,0.737917,0.725224,0.8085123,0.8890365,0.9010833,0.9012732,0.66927993,0.77739954,0.8037069,0.86166537,0.8708638,0.8310167,0.84266824,0.86482424,0.82894087,0.7436657,0.80531204,0.88350767,0.907296,0.9047969,0.9038406,0.8705286,0.90387833,0.87567055,0.87910086,0.87723863,0.8594366,0.8678125,0.8803978,0.8529735,0.871656,0.89208424,0.90363765,0.90639454,0.9053788,0.90503085
