,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
311,2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2018-12-25,0.26724282,0.25162175,0.24268137,0.25127432,0.3239832,0.4311349,0.481542,0.40227473,0.44832852,0.44853765,0.48628289,0.51666915,0.23161535,0.18216564,0.2760426,0.3418026,0.4700855,0.43609467,0.3956613,0.3278198,0.43742517,0.4591596,0.48267186,0.4966604,0.29123357,0.20143475,0.32546607,0.42507744,0.4928213,0.46240553,0.39218557,0.44124588,0.3898633,0.5705074,0.49651715,0.3713849,0.38792053,0.42764962,0.4179969,0.43780336,0.47853196,0.3752244,0.40779343,0.46240076,0.42531437,0.5444656,0.5872972,0.5627037,0.37742585,0.30911154,0.3568048,0.38726592,0.4063574,0.40419644,0.4114777,0.46088243,0.50987947,0.5629689,0.6380581,0.64166665,0.4320482,0.3957271,0.44831657,0.44468087,0.4597582,0.45590362,0.4157277,0.48544604,0.61884475,0.6129712,0.5979008,0.63719064,0.45330718,0.37298924,0.48258063,0.51272297,0.41367522,0.48762232,0.515645,0.5105269,0.59694,0.57566833,0.5362663,0.5728411,0.4709694,0.54166144,0.5062985,0.53374684,0.5131154,0.57718205,0.52354145,0.53473216,0.528,0.48490015,0.4656155,0.51306474,0.47959757,0.53704226,0.4698567,0.4450535,0.4874135,0.5540464,0.5450041,0.5392004,0.5061305,0.47332662,0.48002458,0.48002458,0.4438119,0.4215621,0.51409596,0.48730063,0.54745716,0.5518395,0.5538968,0.54388654,0.5633645,0.51688135,0.54125667,0.54125667
313,2019-01-01,0.26724282,0.25162175,0.24268137,0.25127432,0.3239832,0.4311349,0.481542,0.40227473,0.44832852,0.44853765,0.48628289,0.51666915,0.23161535,0.18216564,0.2760426,0.3418026,0.4700855,0.43609467,0.3956613,0.3278198,0.43742517,0.4591596,0.48267186,0.4966604,0.29123357,0.20143475,0.32546607,0.42507744,0.4928213,0.46240553,0.39218557,0.44124588,0.3898633,0.5705074,0.49651715,0.3713849,0.38792053,0.42764962,0.4179969,0.43780336,0.47853196,0.3752244,0.40779343,0.46240076,0.42531437,0.5444656,0.5872972,0.5627037,0.37742585,0.30911154,0.3568048,0.38726592,0.4063574,0.40419644,0.4114777,0.46088243,0.50987947,0.5629689,0.6380581,0.64166665,0.4320482,0.3957271,0.44831657,0.44468087,0.4597582,0.45590362,0.4157277,0.48544604,0.61884475,0.6129712,0.5979008,0.63719064,0.45330718,0.37298924,0.48258063,0.51272297,0.41367522,0.48762232,0.515645,0.5105269,0.59694,0.57566833,0.5362663,0.5728411,0.4709694,0.54166144,0.5062985,0.53374684,0.5131154,0.57718205,0.52354145,0.53473216,0.528,0.48490015,0.4656155,0.51306474,0.47959757,0.53704226,0.4698567,0.4450535,0.4874135,0.5540464,0.5450041,0.5392004,0.5061305,0.47332662,0.48002458,0.48002458,0.4438119,0.4215621,0.51409596,0.48730063,0.54745716,0.5518395,0.5538968,0.54388654,0.5633645,0.51688135,0.54125667,0.54125667
314,2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2019-01-15,0.02280164,0.037035294,0.03560765,0.02217921,0.0231375,0.025300628,0.02971729,0.03924093,0.03398345,0.056520127,0.3751687,,0.033534713,0.041103706,0.039142445,0.01991116,0.021032277,0.02406735,0.023931663,0.041975558,0.053186364,0.11999087,0.5942968,,0.04916527,0.06306734,0.07742626,0.062129915,0.03172955,0.028522408,0.024787594,0.042372346,0.071647614,0.1889536,0.505836,,0.12640855,0.20322669,0.25285634,0.24078445,0.119512945,0.05630747,0.049904935,0.08006973,0.10118604,0.2516153,0.5479355,,0.2477255,0.46741134,0.40267867,0.30620286,0.23297177,0.13767202,0.15428409,0.14272377,0.16139181,0.49360982,0.5346763,,0.42935613,0.50202334,0.38006178,0.30228058,0.39503348,0.46552742,0.38641748,0.54662794,0.6162107,,0.66294545,,0.58394647,0.5870291,0.5190282,0.5138885,0.5591046,0.5894285,0.5444723,0.56658244,,,,,0.63402224,,0.6322245,0.61272097,0.521973,0.54221034,0.5339689,0.54554445,,,,,0.42297032,0.55345404,0.45246288,0.6484041,0.52534187,0.6358152,,,,,,,0.322475,0.22971442,0.29459584,0.64314985,0.524825,,,,,,,
316,2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2019-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2019-02-12,0.4695006,0.42991227,0.30300048,0.27721304,0.36474335,0.36589637,0.3143454,0.29571778,0.27468303,0.31963828,0.28372428,0.29145387,0.42744324,0.24859332,0.26823747,0.37562802,0.35471228,0.3235294,0.2574996,0.2625833,0.3021247,0.32344374,0.27398703,0.27903327,0.39341617,0.27910784,0.33983415,0.36745578,0.32019994,0.2988163,0.294185,0.2729274,0.28820962,0.33048922,0.31059545,0.275,0.4280238,0.35223764,0.35716134,0.32864675,0.30805945,0.30285242,0.30178705,0.3051387,0.29580992,0.28952587,0.29471081,0.29520833,0.37128258,0.3153241,0.32964745,0.2696036,0.24393563,0.27060384,0.27018204,0.30649522,0.29853863,0.38505408,0.3438843,0.33525014,0.35398382,0.29369956,0.289572,0.2681078,0.27422154,0.23915115,0.27883792,0.30507052,0.35221133,0.40740737,0.3869685,0.36953306,0.29442307,0.31385726,0.32687744,0.30343366,0.30426222,0.36517185,0.34184483,0.32946005,0.3855625,0.4222127,0.41368374,0.41998804,0.34940028,0.34877762,0.3550508,0.3622297,0.4010081,0.40173474,0.3633929,0.34067446,0.4123869,0.3922892,0.40971112,0.37768242,0.33396095,0.33972046,0.38474616,0.358581,0.41056857,0.39912507,0.3264516,0.3340138,0.3745544,0.36080962,0.37207055,0.37207055,0.37154007,0.35874048,0.353467,0.3496205,0.36884663,0.37721092,0.3544089,0.34943148,0.37679002,0.36950245,0.40385973,0.40385973
320,2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2019-03-05,0.41295007,0.40620315,0.37338057,0.36852628,0.39513135,0.4109335,0.4426831,0.44596502,0.40936804,0.40720314,0.4219224,0.43197396,0.39591354,0.38918486,0.3772519,0.38667184,0.40929,0.40927622,0.41884437,0.3995104,0.3995491,0.38744316,0.38213694,0.39422205,0.407227,0.36794165,0.3666213,0.4073844,0.408345,0.39270332,0.39917326,0.4036235,0.38635105,0.36852366,0.36961687,0.3661907,0.4003413,0.3928075,0.38213956,0.39917424,0.4041145,0.37602314,0.3885598,0.40903813,0.37038732,0.36292332,0.35336173,0.3502827,0.41654843,0.3908688,0.3662787,0.3621365,0.36583966,0.3732014,0.37932053,0.3909782,0.36200637,0.3635561,0.36465853,0.35623115,0.39404428,0.37671134,0.37429574,0.36005506,0.35072744,0.36110616,0.37077546,0.34577915,0.36826968,0.3795304,0.37258923,0.36335683,0.40107504,0.38947335,0.38190827,0.36601362,0.35110322,0.3713105,0.35645437,0.34604266,0.37699327,0.3742264,0.3679454,0.3565508,0.43880686,0.40119702,0.39652422,0.37774616,0.3918284,0.37620986,0.3625056,0.35669822,0.3581214,0.3558916,0.36750188,0.3642888,0.4512453,0.4100296,0.38986892,0.3884699,0.36656007,0.35412386,0.350371,0.34596968,0.34630644,0.3540696,0.36203027,0.36203027,0.38314804,0.37771636,0.38948146,0.39099088,0.38188514,0.35988683,0.35157663,0.3473277,0.34886593,0.35405102,0.36668542,0.36668542
323,2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2019-03-19,,,0.4034179,,,,,,,,,,,,,,,,,,,,0.47888324,0.51484853,,,,,,,,,,,,0.49568805,,,,,,,,,,,0.48591828,0.50574714,,0.47878456,0.46324575,0.42835692,,0.44930866,0.46639153,,,,0.4987942,0.5139611,0.47978383,0.47120798,0.4680731,0.44628167,0.44179973,0.45973393,0.4616617,0.46517467,0.52023834,,0.52267146,0.53896743,0.47463802,0.4863093,0.51346534,0.4977591,0.46888614,0.5224188,0.49147433,0.49247384,,,,0.53709996,0.54932034,0.54542446,0.55215037,,,,,,0.5288496,,,,,,,,,,0.5253321,0.5100733,0.5322702,0.53599846,0.5315194,0.5315194,,,,,,,0.52511305,0.51632726,0.54006356,0.51425314,0.5377384,0.5377384
325,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2019-04-02,0.09247413,0.08842737,0.09270129,0.092008784,0.08598864,0.090306304,0.10834916,0.1153564,0.09346537,0.095687576,0.11445624,0.09452996,0.07360918,0.07731228,0.07916535,0.07526134,0.07617317,0.0866905,0.10017227,0.1046471,0.09694764,0.103315935,0.11780567,0.10852738,0.07241283,0.079053536,0.08775643,0.08013208,0.07475988,0.08347966,0.103628896,0.09249715,0.09885609,0.10852096,0.13227202,0.110384755,0.08392003,0.09126595,0.087100856,0.073279396,0.0702658,0.08244141,0.10294384,0.08326959,0.07688979,0.087081,0.09305592,0.1038366,0.09737492,0.10910395,0.09443092,0.081386596,0.073751986,0.088379346,0.10863471,0.090963975,0.080562904,0.076308124,0.08074632,0.092012346,0.10653659,0.110568106,0.10994772,0.10119046,0.0892947,0.08706677,0.09649168,0.07297312,0.07258588,0.0741426,0.07401583,0.07774666,0.1288098,0.11701816,0.10944032,0.11176559,0.095318906,0.08634988,0.073829465,0.068356186,0.07320546,0.07965654,0.07776513,0.087253146,0.15834561,0.12614007,0.10250356,0.09674662,0.06657198,0.06805918,0.06641793,0.06762143,0.069442056,0.07817226,0.08596018,0.09718178,0.1759099,0.12478913,0.07427779,0.06427959,0.058815192,0.05678733,0.06165232,0.06569641,0.067642376,0.07625584,0.09699081,0.09699081,0.08510414,0.07488215,0.061471228,0.053844705,0.05468819,0.05276324,0.063224465,0.0751521,0.08096924,0.087807976,0.114872254,0.114872254
327,2019-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2019-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2019-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2019-05-21,0.28840616,0.29409438,0.27582234,0.25732216,0.24732679,0.23724613,0.25716332,0.2946598,0.26642781,0.2635469,0.2529081,0.26840678,0.27770323,0.28742164,0.28945833,0.27273485,0.2575937,0.25012934,0.2788568,0.3232525,0.30869243,0.3021431,0.27894384,0.27755988,0.27050924,0.28845933,0.2863664,0.2487615,0.24091282,0.2540036,0.30177298,0.34604585,0.31579888,0.29807308,0.27180684,0.27374214,0.2708485,0.30287138,0.30325645,0.24067807,0.22827986,0.23558912,0.2710955,0.29980075,0.2716447,0.26248026,0.24079962,0.24748376,0.26120472,0.3006994,0.30699235,0.25434098,0.22427623,0.22497134,0.23737694,0.2516366,0.2268267,0.21837568,0.2344104,0.2340821,0.24915633,0.26953608,0.26256528,0.23914763,0.21977468,0.2182675,0.222558,0.21246573,0.20651898,0.22062738,0.21951604,0.21419711,0.2340675,0.24450196,0.24024753,0.23102532,0.22740929,0.22821468,0.22123234,0.21183482,0.19959213,0.19859071,0.19646849,0.19530226,0.24049197,0.24717335,0.24047321,0.25571588,0.29083815,0.24194936,0.22194067,0.20282172,0.1909461,0.18803222,0.18825814,0.19000421,0.24419948,0.26883486,0.4387641,0.3770488,0.28850272,0.24956097,0.22150263,0.19969434,0.18989496,0.18970384,0.18864544,0.18864544,0.3552572,0.44436297,0.4811854,0.41417196,0.33171904,0.28765824,0.23720624,0.21279512,0.20727304,0.20282191,0.18686117,0.18686117
334,2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2019-06-04,0.22145046,0.21973714,0.21018787,0.20915645,0.2135074,0.213207,0.21685259,0.21570502,0.21290118,0.21124695,0.214857,0.2187652,0.21998972,0.21793501,0.21166298,0.21534395,0.21911816,0.21896705,0.21959573,0.21936283,0.2177503,0.21502864,0.21814401,0.21815746,0.22128008,0.21627887,0.21398522,0.21774407,0.21920232,0.21850187,0.21987024,0.2232066,0.22702935,0.22668348,0.22717232,0.22552378,0.22632082,0.22496426,0.21727492,0.22087242,0.22110908,0.22069862,0.22377479,0.22963715,0.2308003,0.23188515,0.22496359,0.22631074,0.23002695,0.22743282,0.22288059,0.22509687,0.22206081,0.22504835,0.22358523,0.22657897,0.22789331,0.22851796,0.22414795,0.22287726,0.22954361,0.22760864,0.22501622,0.22657417,0.22408624,0.22463958,0.2228103,0.2218968,0.22719042,0.22958626,0.2282863,0.22738878,0.23006546,0.22695442,0.22676107,0.2284863,0.22563787,0.22402075,0.2191383,0.22146052,0.22533531,0.2290462,0.23142488,0.22961491,0.2305361,0.23113914,0.23052046,0.23195182,0.2271129,0.22464074,0.22273606,0.2227458,0.22629847,0.23018827,0.23386307,0.23258513,0.23161535,0.22990067,0.22956389,0.22918552,0.2265257,0.22302507,0.22204013,0.22281308,0.22553812,0.22630538,0.23072031,0.23072031,0.23946276,0.23592025,0.23147766,0.22928466,0.22617464,0.22238189,0.22024757,0.2196924,0.22052109,0.2187631,0.22324,0.22324
336,2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2019-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2019-06-25,,,,,,,,,,,,,0.45426723,,0.65402097,,,,,,,0.6933162,0.63738734,0.7376753,0.373432,0.5609947,0.45643398,0.5280639,0.75135976,,,,0.6497067,0.52748513,0.525243,0.6602494,0.23480588,0.33369765,0.37641424,0.35285732,0.5002632,0.63038784,0.6773521,0.5456391,0.46966523,0.47770554,0.64639366,0.6070779,0.1890352,0.23367193,0.30927324,0.29713187,0.4238114,0.4635133,0.44357476,0.3960836,0.4264531,0.6425748,0.7507724,0.6277803,0.1826729,0.18130556,0.21607934,0.32038394,0.4758611,0.4938861,0.41342953,0.56357384,0.6241399,0.51919717,0.60367477,0.56630564,0.17242473,0.15044312,0.16567846,0.22408043,0.29749602,0.29592633,0.36687243,0.5326083,0.5018233,0.30889487,0.4064875,0.4287535,0.09886656,0.107086495,0.12909517,0.15198672,0.1866451,0.23159857,0.296795,0.3876321,0.3019391,0.24106444,0.26833087,0.31743425,0.08121344,0.091521956,0.116903745,0.1562475,0.21674764,0.2797218,0.3855861,0.3641408,0.24957843,0.20560467,0.23974197,0.23974197,0.07813188,0.09419712,0.13012774,0.17608045,0.27547818,0.37332666,0.48724976,0.4554378,0.24858092,0.18321756,0.28243175,0.28243175
339,2019-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2019-07-09,0.40417436,0.6022865,0.66381055,0.77434164,0.7406007,0.39168832,0.32148278,0.40890336,0.41149133,0.3379455,0.32796746,0.28394789,0.37278646,0.45516142,0.47840998,,0.85496044,0.65714204,0.5643757,0.5436618,0.522262,0.395453,0.40920734,0.46710947,0.5542089,0.5578827,0.591592,0.72533345,0.84476006,0.7426635,0.7202388,0.73050755,0.68453085,0.53663737,0.53363687,0.6243745,,0.69736767,0.5895756,0.501353,0.66928834,0.73419577,,,0.75630134,0.6519883,0.6340721,0.60231024,,0.74024576,0.578575,0.534302,0.6076593,0.7592005,,,0.74724907,0.74927866,0.7670123,0.6898228,,,0.71690327,0.69954437,0.67701215,0.74805033,,0.4990328,0.44641525,0.5763511,0.7572964,0.8356153,,,,,,0.40218163,0.19251995,0.16372858,0.19330929,0.30439267,0.3584498,0.7018858,,,,,0.27744144,0.16872814,0.09294364,,0.10945602,0.142498,0.18925153,0.38551325,0.6399591,0.65807784,0.33272752,0.22578396,0.12298882,,,,0.08544793,0.09950353,0.13633743,0.13633743,,0.11545609,0.14396682,0.12963125,,,,,0.083314344,0.085364334,0.10161087,0.10161087
341,2019-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,2019-07-23,0.62524873,0.5921474,0.6637174,0.7447029,0.8461408,0.8642252,0.86637545,0.8486309,0.80695844,0.84882903,0.86863077,0.88770664,0.6366055,0.60714614,0.66080725,0.76571465,0.83050025,0.84752536,0.83753014,0.80426633,0.7985628,0.85422707,,0.8837366,0.7214794,0.6241281,0.66397476,0.7686833,0.8325233,0.7995927,0.8195842,0.83868164,0.84291995,0.8531471,,0.8822251,0.83628917,0.7819927,0.75973654,0.7544294,0.7964576,0.7753178,0.8122134,0.8531615,0.8611053,0.8481052,0.8602943,0.8840521,0.841894,0.81497884,0.7784707,0.7586867,0.7642309,0.796407,0.8203823,0.8473675,,,0.8826859,0.884808,0.80327797,0.782152,0.8145247,0.81863296,0.8022898,0.82164115,0.8113263,0.82807744,,,0.8868521,0.88492906,0.82777476,0.84177274,0.8605363,0.8569272,0.8380501,,,,,,,0.8785877,0.84303004,0.85193324,0.87083006,0.8687928,,,,,,,,,0.8540218,,,,,,,,,,,,,,,,,,0.83196276,,,,,
343,2019-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2019-08-06,0.6181682,0.60894966,0.5660384,0.54272485,0.5845145,0.60069525,0.610076,0.62777996,0.64576733,0.657772,0.6866134,0.68883693,0.59008664,0.5734206,0.56079775,0.591848,0.6104069,0.60410815,0.60423553,0.6010111,0.59435254,0.60154074,0.6145932,0.6345781,0.60037076,0.5550573,0.57154953,0.60863876,0.6127432,0.58525074,0.6021869,0.61891216,0.5976239,0.59435725,0.60046506,0.6017872,0.6023838,0.57452774,0.5658894,0.5773492,0.582926,0.57631856,0.5954479,0.6273996,0.6233056,0.62569135,0.611231,0.61015683,0.6023399,0.58075887,0.5782825,0.58365554,0.58235675,0.59132355,0.6016934,0.6090406,0.6175967,0.6073217,0.60790735,0.60508186,0.6194092,0.6018163,0.596736,0.60215586,0.5957737,0.6046478,0.59117824,0.5734493,0.58307815,0.59074795,0.58477074,0.6005075,0.6514082,0.6284205,0.621327,0.6147093,0.59524024,0.5961917,0.5712182,0.5652779,0.5654711,0.5693157,0.57434493,0.5898879,0.6639846,0.6284527,0.60068375,0.5878912,0.60099,0.60606486,0.58266515,0.5791856,0.5828015,0.5746224,0.56961644,0.58202046,0.66385436,0.6283649,0.62188846,0.6121183,0.5929829,0.58215755,0.5677072,0.5828709,0.59948885,0.60148746,0.5922081,0.5922081,0.7233301,0.67147416,0.6387425,0.6232997,0.6059297,0.5826307,0.5618019,0.5761874,0.59555614,0.61346036,0.61849296,0.61849296
345,2019-08-13,0.6181682,0.60894966,0.5660384,0.54272485,0.5845145,0.60069525,0.610076,0.62777996,0.64576733,0.657772,0.6866134,0.68883693,0.59008664,0.5734206,0.56079775,0.591848,0.6104069,0.60410815,0.60423553,0.6010111,0.59435254,0.60154074,0.6145932,0.6345781,0.60037076,0.5550573,0.57154953,0.60863876,0.6127432,0.58525074,0.6021869,0.61891216,0.5976239,0.59435725,0.60046506,0.6017872,0.6023838,0.57452774,0.5658894,0.5773492,0.582926,0.57631856,0.5954479,0.6273996,0.6233056,0.62569135,0.611231,0.61015683,0.6023399,0.58075887,0.5782825,0.58365554,0.58235675,0.59132355,0.6016934,0.6090406,0.6175967,0.6073217,0.60790735,0.60508186,0.6194092,0.6018163,0.596736,0.60215586,0.5957737,0.6046478,0.59117824,0.5734493,0.58307815,0.59074795,0.58477074,0.6005075,0.6514082,0.6284205,0.621327,0.6147093,0.59524024,0.5961917,0.5712182,0.5652779,0.5654711,0.5693157,0.57434493,0.5898879,0.6639846,0.6284527,0.60068375,0.5878912,0.60099,0.60606486,0.58266515,0.5791856,0.5828015,0.5746224,0.56961644,0.58202046,0.66385436,0.6283649,0.62188846,0.6121183,0.5929829,0.58215755,0.5677072,0.5828709,0.59948885,0.60148746,0.5922081,0.5922081,0.7233301,0.67147416,0.6387425,0.6232997,0.6059297,0.5826307,0.5618019,0.5761874,0.59555614,0.61346036,0.61849296,0.61849296
346,2019-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2019-08-27,0.8102279,0.7995237,0.73562795,0.72601855,0.80448115,0.831859,0.84275615,0.84021014,0.79091126,0.81277657,0.8247685,0.8349032,0.76318187,0.73887444,0.7459548,0.804062,0.82088983,0.8228232,0.8299582,0.79114306,0.79356897,0.8209801,0.8165826,0.8231538,0.7982225,0.7307562,0.78059125,0.8219581,0.817772,0.7792674,0.79585356,0.81837,0.8189189,0.826472,0.8290608,0.82936627,0.8038887,0.77702576,0.7711724,0.77111906,0.78559256,0.7588638,0.7911979,0.8249399,0.8314096,0.8293916,0.8308506,0.8409648,0.7933105,0.7782702,0.7563867,0.7317375,0.74318314,0.76977235,0.797273,0.8184063,0.8318021,0.8418955,0.8454087,0.8479323,0.77899855,0.7774469,0.78955585,0.7837989,0.7798396,0.78807026,0.79202753,0.80434316,0.82489556,0.8293347,0.8407635,0.8531058,0.81051874,0.8273955,0.8403546,0.8182253,0.8007129,0.8051185,0.80362314,0.8032521,0.8115438,0.8255147,0.8344842,0.84006226,0.8293989,0.8432538,0.8746635,0.84847474,0.82484895,0.8240221,0.81671405,0.81813484,0.82425165,0.8212025,0.82613695,0.83197117,0.80621284,0.8105244,0.71706665,0.58657014,0.7864478,,0.88975275,0.8645991,0.82547444,0.82328355,0.8236939,0.8236939,,0.7505938,0.5466217,0.58843225,0.8060255,,,0.8978674,0.8295194,0.8232162,0.82537895,0.82537895
348,2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2019-09-10,0.83224905,0.7925541,0.7500465,0.77658343,0.8487022,0.8775976,0.8790643,0.86503243,0.84130645,0.85449266,0.86726624,0.8709134,,0.7548252,,0.84939665,0.8672897,0.8537643,0.85771453,0.8227805,0.8307011,0.86102414,0.8574116,0.8629563,,0.7280969,0.8234489,0.8481906,0.8489303,0.8009242,0.8387015,0.8513584,0.858491,0.8608261,0.86772144,0.8650503,0.847447,0.8429147,0.79569995,0.79016495,0.79221183,0.7832508,0.8078062,0.86576205,0.86869097,0.8662962,0.8661248,0.8657246,0.83329517,0.81384957,0.76893175,0.7684838,0.76979417,0.7974053,0.82380515,0.8617244,0.87485045,0.87176734,0.8823026,0.86956614,0.82702,0.82427037,0.8085609,0.7970699,0.8061531,0.82051134,0.8273661,0.8403864,0.8629888,0.87378836,0.8901406,0.8735085,0.84874254,0.860562,0.8705251,0.8409463,0.8320373,0.8561059,0.84572726,0.84005094,,,0.8748121,0.87338305,0.8702906,0.86512333,0.8693664,0.8663055,0.8761889,0.86567944,0.86117625,0.863457,,,,,0.8785859,0.8680801,0.8626385,0.8663385,,0.8612446,0.85695803,0.86251855,0.86585426,,,,0.86835206,0.86239326,,,0.8742427,0.85870296,0.8569305,0.860399,,0.8693748,0.86598283,0.86598283
350,2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
