,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
307,2018-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2018-11-27,0.3299523,0.35467213,0.37187472,0.33634776,0.31006876,0.2985579,0.301662,0.3011359,0.29208842,0.29360023,0.30209357,0.31926122,0.32428545,0.32496774,0.32725328,0.34148234,0.37862232,0.42669806,0.36435306,0.32420716,0.3020723,0.30691546,0.2969211,0.29935393,0.3010821,0.299762,0.31193566,0.31764394,0.3285763,0.33461672,0.3347747,0.356654,0.3792636,0.3418867,0.3064539,0.29861948,0.30226827,0.30018237,0.30891195,0.30839735,0.3132426,0.32349074,0.32479715,0.3300461,0.33034575,0.3245691,0.32656404,0.3402024,0.32826096,0.3162679,0.30898827,0.31168234,0.31514522,0.3128646,0.317389,0.33144057,0.3302506,0.32092336,0.31840086,0.3206474,0.32314318,0.3265894,0.3232455,0.32631496,0.32707128,0.33022887,0.33594507,0.33417696,0.33239323,0.33482397,0.33610266,0.33164757,0.32349962,0.3251459,0.32235938,0.32892615,0.33687457,0.33204356,0.3401003,0.3386401,0.33495826,0.335354,0.3382566,0.34407955,0.3415554,0.33841506,0.32996154,0.32529825,0.3331312,0.33057246,0.3345111,0.33835256,0.330599,0.3406372,0.34316894,0.3383789,0.33263487,0.3380736,0.33993334,0.3394736,0.33282572,0.32989463,0.32983908,0.33762762,0.33459106,0.3157629,0.31958082,0.32395104,0.33085912,0.34322232,0.33496922,0.33150172,0.33248332,0.33769852,0.3382901,0.33398503,0.3318904,0.3369363,0.3369875,0.3334381,0.30622956,0.31415516,0.3210425,0.32474554,0.31559178,0.3229379,0.32483494,0.32439524,0.32935414,0.33995923,0.33678398,0.34623736,0.331173,0.3362826,0.34701505,0.30730626,0.3167403,0.3204943,0.31796128,0.32099324,0.3210014,0.31851617,0.31942144,0.32386687,0.33634967,0.33432156,0.34221557,0.34218845,0.3415807,0.34113473,0.316687,0.3151722,0.3164816,0.3183623,0.31608042,0.3135362,0.31075642,0.31748122,0.32609683,0.33212245,0.33712316,0.33874604,0.3426425,0.34143478,0.34091714
309,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2018-12-11,0.029697644,0.027023029,0.026544755,0.025078485,0.024757195,0.024074752,0.022198616,0.0209062,0.021660324,0.020752518,0.016752023,0.016937604,0.01823456,0.014882591,0.013484068,0.029465767,0.02698885,0.028226636,0.02614592,0.021989666,0.029497365,0.024969589,0.021869773,0.021952638,0.018439744,0.021033548,0.017879415,0.017808203,0.01536231,0.013633352,0.03154929,0.029685663,0.02967523,0.027895145,0.024924252,0.02392146,0.022673817,0.024551049,0.023021294,0.020555418,0.019072847,0.017749526,0.018299194,0.017471563,0.018066661,0.032520648,0.028972717,0.031041835,0.030259246,0.028306734,0.0255041,0.02289917,0.02481836,0.02604768,0.023347612,0.021731498,0.019843848,0.020493718,0.020068493,0.018769747,0.03095508,0.028732423,0.026160164,0.02830598,0.028555784,0.027484545,0.025642978,0.022517407,0.024970224,0.021719124,0.024353161,0.02260589,0.019707954,0.019041803,0.01997093,0.03165676,0.027615234,0.029926442,0.028106092,0.029634215,0.026621379,0.027871449,0.02363679,0.021183882,0.025021266,0.023757286,0.025139151,0.024591628,0.018502949,0.020612705,0.031971633,0.031701993,0.030308155,0.029785912,0.030257666,0.028203283,0.027817478,0.024255974,0.020468159,0.022310497,0.02203602,0.02135341,0.02325753,0.023683112,0.020594848,0.029206986,0.02902963,0.029197235,0.029313505,0.028319733,0.025873069,0.028301109,0.026593646,0.022579547,0.019214796,0.020990511,0.02237578,0.020019855,0.020740228,0.01890707,0.03034825,0.02801493,0.029552579,0.027127907,0.027718369,0.028360369,0.02997555,0.024883162,0.021301005,0.019079909,0.021264499,0.01927137,0.018576896,0.01729108,0.016134948,0.033546425,0.03269245,0.028757095,0.028760385,0.028453285,0.028843004,0.027939852,0.026011888,0.025291977,0.020405347,0.020190232,0.021538597,0.019832822,0.016614033,0.015372236,0.032510966,0.03128091,0.031414133,0.029600637,0.025945814,0.025370037,0.025848305,0.024803849,0.022250606,0.018201686,0.020658588,0.019316932,0.01982883,0.01687727,0.017080238
311,2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2018-12-25,0.30117998,0.46340474,0.527505,0.4856802,0.36460286,0.4601831,0.33239326,0.3441951,0.3950242,0.33725533,0.37829056,0.424183,0.43065536,0.37871164,0.3747495,0.43398935,0.46837696,0.47826087,0.4329285,0.38896123,0.35505825,0.30488342,0.34501407,0.38040698,0.37640756,0.38398856,0.42553425,0.40539962,0.44048807,0.44643697,0.5145736,0.46403462,0.41843837,0.34709004,0.34237644,0.30858868,0.2828748,0.3315002,0.3802349,0.36449417,0.41679597,0.4542282,0.4170898,0.4181251,0.34350604,0.47681943,0.40891063,0.3190095,0.42439327,0.40071958,0.32511723,0.3133692,0.33392206,0.3517255,0.32623225,0.38454458,0.4380477,0.4436253,0.3181354,0.36286968,0.37504533,0.357393,0.32056063,0.34192905,0.3299764,0.3703512,0.37462014,0.46089664,0.38563278,0.44365904,0.42284787,0.35366106,0.42064542,0.33472988,0.3543976,0.38264787,0.34652188,0.3502561,0.35320547,0.36537614,0.37591165,0.41216764,0.4511299,0.45354477,0.48711318,0.44782516,0.4282862,0.46124524,0.40772617,0.33760163,0.4258689,0.3853107,0.33062148,0.31667975,0.3753402,0.42692977,0.38365313,0.4220596,0.4510972,0.49309587,0.45819122,0.43137255,0.58717144,0.5072199,0.41415337,0.31859952,0.39513323,0.43960375,0.44604474,0.4707044,0.49653214,0.40117928,0.42262787,0.4256572,0.47501913,0.37254006,0.4628316,0.5231902,0.48982865,0.41922313,0.4430206,0.43078324,0.45669642,0.45043632,0.42932746,0.45609128,0.44209275,0.39498162,0.41316214,0.43006954,0.4526647,0.46368143,0.44739535,0.42378223,0.44883007,0.48347697,0.4631066,0.38957325,0.39168054,0.40242413,0.40526316,0.46858084,0.34680873,0.37202317,0.3119315,0.38519004,0.4235326,0.45907798,0.44722122,0.48710322,0.46489188,0.4756956,0.37426966,0.51042026,0.49579632,0.4582183,0.4080625,0.38910723,0.4161713,0.4305262,0.41521868,0.4347091,0.47714275,0.50629437,0.5317031
313,2019-01-01,0.30117998,0.46340474,0.527505,0.4856802,0.36460286,0.4601831,0.33239326,0.3441951,0.3950242,0.33725533,0.37829056,0.424183,0.43065536,0.37871164,0.3747495,0.43398935,0.46837696,0.47826087,0.4329285,0.38896123,0.35505825,0.30488342,0.34501407,0.38040698,0.37640756,0.38398856,0.42553425,0.40539962,0.44048807,0.44643697,0.5145736,0.46403462,0.41843837,0.34709004,0.34237644,0.30858868,0.2828748,0.3315002,0.3802349,0.36449417,0.41679597,0.4542282,0.4170898,0.4181251,0.34350604,0.47681943,0.40891063,0.3190095,0.42439327,0.40071958,0.32511723,0.3133692,0.33392206,0.3517255,0.32623225,0.38454458,0.4380477,0.4436253,0.3181354,0.36286968,0.37504533,0.357393,0.32056063,0.34192905,0.3299764,0.3703512,0.37462014,0.46089664,0.38563278,0.44365904,0.42284787,0.35366106,0.42064542,0.33472988,0.3543976,0.38264787,0.34652188,0.3502561,0.35320547,0.36537614,0.37591165,0.41216764,0.4511299,0.45354477,0.48711318,0.44782516,0.4282862,0.46124524,0.40772617,0.33760163,0.4258689,0.3853107,0.33062148,0.31667975,0.3753402,0.42692977,0.38365313,0.4220596,0.4510972,0.49309587,0.45819122,0.43137255,0.58717144,0.5072199,0.41415337,0.31859952,0.39513323,0.43960375,0.44604474,0.4707044,0.49653214,0.40117928,0.42262787,0.4256572,0.47501913,0.37254006,0.4628316,0.5231902,0.48982865,0.41922313,0.4430206,0.43078324,0.45669642,0.45043632,0.42932746,0.45609128,0.44209275,0.39498162,0.41316214,0.43006954,0.4526647,0.46368143,0.44739535,0.42378223,0.44883007,0.48347697,0.4631066,0.38957325,0.39168054,0.40242413,0.40526316,0.46858084,0.34680873,0.37202317,0.3119315,0.38519004,0.4235326,0.45907798,0.44722122,0.48710322,0.46489188,0.4756956,0.37426966,0.51042026,0.49579632,0.4582183,0.4080625,0.38910723,0.4161713,0.4305262,0.41521868,0.4347091,0.47714275,0.50629437,0.5317031
314,2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2019-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2019-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2019-02-12,0.4473029,0.42610964,0.43716437,0.42671117,0.4655995,0.50816214,0.510859,0.50383353,0.4501121,0.42575735,0.3821916,0.39365178,0.42520726,0.47048882,0.5147278,0.48438552,0.44786862,0.4698115,0.48880276,0.4933732,0.47796088,0.46942675,0.46417037,0.45005235,0.41912198,0.37768576,0.41948456,0.43784538,0.48224685,0.50899106,0.45747787,0.48680156,0.48834518,0.4861358,0.47197613,0.46741086,0.44355845,0.42846054,0.43648002,0.3920428,0.41259632,0.4411977,0.43473053,0.48844764,0.4833704,0.4677432,0.48085162,0.46352625,0.4399095,0.46073505,0.45809633,0.4190523,0.41747934,0.42051047,0.39473304,0.38138843,0.42389032,0.45419878,0.469438,0.4720883,0.4980879,0.4660006,0.48568332,0.48464343,0.454765,0.4404135,0.45912746,0.451886,0.4081646,0.38278842,0.41511056,0.42402095,0.44758192,0.4510292,0.46792895,0.49900785,0.482222,0.47423297,0.45000198,0.37660846,0.40246165,0.44270036,0.47958803,0.43888444,0.40672126,0.3703557,0.45667982,0.5214426,0.5251633,0.4948948,0.50268155,0.48348576,0.4277751,0.37987047,0.3891006,0.45706972,0.4363422,0.47576433,0.44799078,0.49273697,0.47702822,0.53064555,0.5852685,0.5696442,0.5174425,0.48357165,0.4304348,0.41578916,0.44095206,0.4626609,0.4757512,0.4517914,0.48317495,0.48217615,0.50598407,0.5257821,0.5391708,0.53039473,0.4602398,0.48779902,0.44623226,0.42205718,0.42453137,0.43459296,0.44310868,0.46291456,0.47474957,0.4660925,0.45279366,0.47995856,0.52174604,0.538212,0.4822027,0.41820553,0.4668732,0.42177913,0.4346828,0.41387498,0.38358068,0.4361174,0.4494767,0.47433266,0.42303753,0.46306452,0.5043555,0.5168811,0.5203683,0.4924047,0.41921088,0.49731597,0.41763625,0.4086452,0.41585627,0.4408138,0.46916968,0.44530398,0.45778605,0.49196208,0.5007645,0.52415144,0.50249684,0.4934247,0.49712753,0.4834334,0.47271067
320,2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2019-03-05,0.4102038,0.39871123,0.40411383,0.40716347,0.4273703,0.43182406,0.44661924,0.43545118,0.41887677,0.41339,0.41354537,0.41233423,0.42587155,0.4406636,0.45954424,0.44312045,0.4163203,0.41898328,0.44268894,0.43566403,0.4152357,0.41384697,0.42881808,0.4265743,0.41303393,0.4061953,0.43070522,0.44283476,0.47123134,0.46618214,0.44746283,0.4415123,0.44565684,0.42971998,0.4324337,0.4248655,0.40903813,0.4119973,0.42250213,0.4119418,0.40902215,0.43026876,0.45048252,0.45290878,0.4459739,0.46139303,0.4601031,0.44218898,0.43497056,0.44718537,0.43984362,0.42912236,0.42303145,0.42236772,0.42109928,0.4186658,0.4233582,0.43089917,0.4272604,0.43214583,0.466475,0.45783785,0.45155492,0.4615616,0.45880333,0.4511295,0.4477464,0.4296977,0.42858118,0.43175894,0.43779913,0.4273757,0.4248196,0.4218101,0.4200523,0.4610704,0.4526224,0.4608596,0.45874718,0.43967474,0.4472676,0.4607281,0.4449576,0.45036924,0.43843356,0.44003272,0.44676137,0.45548096,0.46960732,0.44323933,0.46517178,0.4486367,0.4325524,0.44770673,0.45710826,0.4587873,0.4595539,0.45830357,0.46556243,0.45650154,0.4626723,0.47225496,0.4889347,0.48602903,0.45596546,0.44844872,0.43053576,0.4393311,0.4516343,0.4789799,0.47615024,0.47488347,0.47650665,0.48270983,0.4830415,0.48558545,0.48629615,0.4443358,0.41520244,0.43376967,0.4419284,0.4306539,0.44075587,0.44148806,0.46137288,0.45940077,0.46802002,0.47531998,0.4514379,0.45281303,0.47436288,0.47510004,0.4326742,0.38152727,0.43467465,0.43886644,0.4347466,0.43131834,0.42841145,0.44220626,0.4574184,0.4658669,0.4539953,0.42988667,0.45838156,0.44923759,0.45289743,0.4297854,0.40179065,0.42905262,0.43855184,0.4311554,0.43181232,0.4339111,0.43850297,0.44450092,0.45206457,0.46938583,0.4622399,0.4519717,0.42904148,0.42295158,0.43157285,0.41426384,0.43039358
323,2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2019-03-19,,,,,,,,,,,,,,,,,,0.5483775,0.55020475,0.54349536,,,,,,,,,,,,,0.5394448,0.51975274,0.5359301,,,,,,,,,,,,,0.5211429,0.5116325,0.5380045,0.52503103,,,,,,,,,,,0.5230809,0.51751375,0.52337384,0.53557736,,,,,,,,,,,,,,0.532002,,,,,,,,,,,,,,,,,,,,,,,,,,0.5486075,,,,,,,,,,,,,0.49232396,0.45754063,0.5075622,,,,,,,,,,,,,0.49079698,0.42489785,0.4980258,,,,,,,,,,,,,0.49749514,0.43417037,0.47331545,,,,,,,,,,,0.52304316,0.5067207,0.5096483,0.46684596,0.46965095
325,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2019-04-02,0.033604797,0.036220144,0.037777916,0.036719553,0.03593937,0.037045967,0.042555876,0.046303406,0.051431276,0.05892919,0.051927753,0.043571528,0.03669067,0.033938427,0.039943993,0.03664859,0.038301606,0.040284995,0.041936196,0.04452659,0.044589154,0.050017424,0.050300963,0.04915643,0.05508682,0.054894157,0.050978623,0.04054688,0.03903821,0.03981442,0.045739125,0.0429463,0.043788534,0.044637825,0.04934405,0.05086269,0.049560536,0.04640229,0.042688042,0.046742007,0.054893684,0.054340072,0.047069155,0.03861502,0.03199806,0.05064819,0.052322276,0.05167727,0.051056907,0.053566355,0.049169075,0.04792146,0.044981394,0.043798268,0.04234664,0.04964304,0.056742433,0.04673865,0.029295044,0.025159342,0.054296788,0.054525696,0.05430239,0.055002917,0.05378059,0.04745301,0.04784979,0.050436236,0.046553727,0.04599074,0.047540516,0.053576954,0.046668503,0.034281485,0.035231464,0.048950654,0.051692042,0.053510062,0.05489713,0.052286763,0.05014757,0.048250534,0.04799907,0.04827738,0.04900807,0.048013106,0.04964167,0.0502368,0.041735936,0.037291322,0.051890735,0.05278824,0.050986912,0.05168169,0.050607283,0.051580958,0.048223324,0.04695649,0.048105497,0.05039956,0.0440024,0.04553151,0.051016457,0.041790396,0.037388757,0.05245667,0.049050648,0.050145913,0.05161051,0.05168948,0.053419746,0.055544022,0.054087315,0.05117785,0.05128131,0.04379368,0.042344827,0.0483939,0.045529272,0.042627987,0.04845543,0.046024397,0.05027701,0.05146162,0.052850973,0.05243766,0.054139927,0.0524392,0.05130426,0.050118487,0.050713558,0.04851247,0.04912904,0.046417817,0.043096043,0.049626675,0.046678893,0.05071603,0.053234074,0.051256675,0.050950818,0.05115878,0.050096314,0.049116217,0.048684284,0.049486075,0.04889772,0.049359463,0.044350743,0.043573074,0.04750826,0.04835421,0.049279217,0.05097476,0.04812791,0.046787947,0.04929802,0.049431473,0.049128566,0.047437225,0.047800988,0.048611846,0.04778812,0.045659244,0.04862709
327,2019-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2019-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.864344e-05,,,,,,,,,,,,,,,0.00051876734,0.00046525034,,,,,,,,,,,,,,0.00043466754,0.0001040699,,,,,,,,,,,,0.00029561055,,0.00085655693,,,,,,,,,,,,,,,0.00096280494,,,,,,,,,,,,,,,0.00078926585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006844247,0.00012236816,,,,,,,,,,,,,
329,2019-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.864344e-05,,,,,,,,,,,,,,,0.00051876734,0.00046525034,,,,,,,,,,,,,,0.00043466754,0.0001040699,,,,,,,,,,,,0.00029561055,,0.00085655693,,,,,,,,,,,,,,,0.00096280494,,,,,,,,,,,,,,,0.00078926585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006844247,0.00012236816,,,,,,,,,,,,,
330,2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2019-05-21,0.5463237,0.55009025,0.5517332,0.55807006,0.55281264,0.5517179,0.5578119,0.5544253,0.55881864,0.5586577,0.5605748,0.5651889,0.56545395,0.5584458,0.5638659,0.54972214,0.55240107,0.55325985,0.55548584,0.55077285,0.5491206,0.55128866,0.5550499,0.5571166,0.55820864,0.55853796,0.5681114,0.57001597,0.56641674,0.5676601,0.5520694,0.5519069,0.5529935,0.55219626,0.5499535,0.54923576,0.5515653,0.5544664,0.5559795,0.56198424,0.5655073,0.57001954,0.5749955,0.5765176,0.57367903,0.5535476,0.5572761,0.55725574,0.5516248,0.55432814,0.5542849,0.5577627,0.56142247,0.5672365,0.5724502,0.5763617,0.5762931,0.5768699,0.5790971,0.5771149,0.56231743,0.56150234,0.5646864,0.5680784,0.5631985,0.5615803,0.56462127,0.5721569,0.56769204,0.5742475,0.5789098,0.5772554,0.579471,0.5769345,0.57989264,0.56606567,0.56476134,0.57070065,0.5734459,0.5742461,0.57517374,0.57731396,0.5731767,0.571912,0.57622534,0.5819139,0.585917,0.5870589,0.5849145,0.5820504,0.57041407,0.57269806,0.57547396,0.57920873,0.58138865,0.5877588,0.58123577,0.5679522,0.5791617,0.58139336,0.5834116,0.5878156,0.5891342,0.5892176,0.5852951,0.5782817,0.5799033,0.5838587,0.5823299,0.5799685,0.5884519,0.5926047,0.5777693,0.57945013,0.5821532,0.5803629,0.5815155,0.56724995,0.568014,0.57507837,0.57445234,0.5747096,0.5790539,0.5762999,0.5802848,0.58525413,0.59735096,0.5894811,0.57240754,0.58221775,0.5837243,0.57702774,0.5516252,0.54546285,0.56406415,0.56713223,0.5707254,0.5734716,0.5762622,0.57911843,0.5841279,0.5890046,0.5828495,0.5801983,0.58574134,0.58344126,0.5762951,0.5591284,0.541456,0.56403655,0.5622387,0.5672658,0.5739541,0.5735596,0.57673955,0.5769795,0.5745651,0.57662696,0.57832366,0.586283,0.57977504,0.57855034,0.5741318,0.55118644,0.55220854
334,2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2019-06-04,0.18601248,0.18923794,0.19751687,0.20427342,0.20425875,0.20709766,0.21181273,0.21731192,0.23074384,0.2800965,0.30908707,0.31938088,0.33190376,0.34036356,0.3443044,0.17835717,0.1824024,0.19387779,0.2009833,0.20120212,0.20803516,0.21641672,0.22057246,0.23572586,0.26941285,0.29423127,0.31344405,0.3291706,0.34058195,0.3416873,0.17754002,0.18102752,0.19264169,0.2013379,0.20397362,0.22358495,0.23676232,0.24098219,0.25014558,0.26709875,0.2869974,0.31271234,0.31967843,0.32450804,0.3319373,0.18936269,0.18567948,0.19344257,0.1950785,0.21177864,0.23982699,0.2535142,0.2567527,0.2696819,0.27769926,0.2933567,0.31489494,0.31592962,0.31924745,0.3246723,0.2108563,0.19383287,0.18997392,0.19217479,0.22165439,0.25412402,0.25601515,0.2680991,0.28787744,0.28885713,0.29658327,0.31491956,0.31539983,0.31527975,0.31887835,0.24386784,0.21832232,0.21143518,0.21649034,0.24658838,0.27378547,0.26843077,0.27619338,0.28885207,0.28565326,0.2937164,0.30503207,0.30813348,0.30660105,0.30786762,0.27278793,0.26270798,0.26051223,0.2593992,0.26688108,0.2708425,0.2720186,0.27757347,0.28858972,0.28802532,0.2927704,0.2943503,0.3008851,0.30585882,0.30367,0.28884804,0.28377753,0.27890694,0.2748197,0.26841858,0.2737947,0.27993405,0.28434744,0.29417574,0.28874823,0.28720236,0.2897085,0.28198573,0.2904084,0.2972015,0.29216877,0.28760237,0.2881169,0.28012276,0.2776296,0.2832974,0.29163983,0.2901638,0.28910598,0.29043552,0.27714545,0.2737071,0.2677137,0.2709296,0.2890643,0.2936034,0.29481885,0.29406247,0.28746724,0.2832581,0.2835234,0.28370872,0.28036693,0.27512676,0.27208772,0.26033688,0.25212643,0.26299775,0.2703073,0.27445117,0.29822582,0.2995627,0.29773995,0.28650585,0.27246577,0.2655865,0.25314087,0.26195008,0.25874886,0.25293323,0.2433451,0.23565283,0.24569121,0.25614136,0.25120732
336,2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2019-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2019-06-25,,,0.87568927,,,,,,,,0.8812812,0.880313,,,,,,,,,,,,,,,0.8816968,,,0.88043326,,,0.8849907,,,,,,,,0.8804044,0.88040835,0.88198406,0.8824762,,,0.8834586,0.8818776,0.8814296,0.8836441,0.8759295,,,,,,0.8794781,0.87781894,,,,0.8854424,0.88525796,0.8870917,0.8832375,0.8719447,,,,,,,0.876586,,,0.8849818,,,0.88652116,,,,0.8508426,,,,0.8830456,0.88148504,0.8794086,0.8793263,0.88639003,0.8876439,,,0.8873408,0.88951325,,0.8347255,0.86609155,0.88374716,,,0.87763923,0.8775972,0.87782663,,,,,,,,0.8477291,0.87193507,0.88567895,,,0.79788005,0.81142104,,,,,,,,,,0.8562883,,,0.87859344,0.7513449,0.73847395,0.8532477,,,,,,,,,,,,,0.8316011,0.71706295,0.81185496,,,,,,,,,,,,,,0.7511894,0.75928205
